Course_ID,Store_Product_Name,Provider,Store_Price_MXN,Stock_Status,Payment_Link
GP001,Primeros Auxilios,CECEM,$755,En existencia,https://tienda.cruzrojacecem.com/products/primer-respondiente-en-primeros-auxilios-8-hrs
GP002,Toma de Signos Vitales,CECEM,$485,En existencia,https://tienda.cruzrojacecem.com/products/toma-de-signos-vitales
GP003,Reanimación Cardiopulmonar y Desobstrucción de la Vía Aérea,CECEM,$580,En existencia,https://tienda.cruzrojacecem.com/products/reanimacion-cardiopulmonar-y-desobstruccion-de-la-via-aerea
GP004,"Cuidado de pacientes en el hogar (medicamentos, adaptaciones)",CECEM,$580,En existencia,https://tienda.cruzrojacecem.com/products/cuidados-en-el-hogar-curaciones-vendajes-e-inyecciones
GP005,Limpieza y tratamiento de heridas,CECEM,$425,En existencia,https://tienda.cruzrojacecem.com/products/tecnicas-de-asepsia-y-antisepsia
GP006,Formación de Camilleros — Traslado y Movilización del Paciente,CECEM,"$1,500",En existencia,https://tienda.cruzrojacecem.com/products/formacion-de-camilleros-seguridad-en-el-traslado-y-movilizacion-del-paciente
GP007,Primeros Auxilios Pediátricos,CECEM,$645,En existencia,https://tienda.cruzrojacecem.com/products/primeros-auxilios-pediatricos
GP008,Primeros Auxilios en el Deporte,CECEM,"$1,100",Agotado,https://tienda.cruzrojacecem.com/products/primeros-auxilios-en-el-deporte
HP001,Accesos Intraóseos,CECEM,$600,En existencia,https://tienda.cruzrojacecem.com/products/accesos-intraoseos
HP002,Urgencias Obstétricas,CECEM,$800,En existencia,https://tienda.cruzrojacecem.com/products/atencion-al-parto-y-emergencias-obstetricas
HP003,Manejo del Paciente Neurocrítico,CECEM,$800,En existencia,https://tienda.cruzrojacecem.com/products/manejo-del-paciente-neurocritico
HP004,Primeros Auxilios de Mascotas,Cruz Roja CECEM,"$1,350",En existencia,https://tienda.cruzrojacecem.com/products/primeros-auxilios-de-mascotas
HP005,Manejo integral del Paciente Quemado,CECEM,$600,En existencia,https://tienda.cruzrojacecem.com/products/atencion-integral-del-paciente-quemado
HP006,Ecografía Prehospitalaria,CECEM,"$1,000",Agotado,https://tienda.cruzrojacecem.com/products/ecografia-prehospitalaria
HP007,Electrocardiografía Básica,CECEM,$650,En existencia,https://tienda.cruzrojacecem.com/products/electrocardiografia-basica
