Course_ID,Course_Name_ES,Course_Name_EN,Program_Track,Course_Category,Short_Description,Target_Audience,Prerequisites_Description,Minimum_Age,Required_Education_Level,Total_Contact_Hours,Duration_Days,Duration_Calendar_Span,Schedule_Format,Delivery_Mode,Language_of_Instruction,Materials_Included,Assessment_Method,Passing_Score,Max_Participants_Per_Class,Min_Participants_To_Run,What_They_Get,Price_Per_Person_MXN,Compliance_Flags
GP001,Primeros Auxilios Nivel Básico,First Aid – Basic Level,Capacitación Externa (Población General),General Public,Curso diseñado para que personas que no son profesionales de la salud tengan un primer acercamiento a las acciones que pueden…,Personas que no son profesionales de la salud,"No, es completamente abierto a cualquier público",15,Sin requisitos específicos,8,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital y material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana / DC-3 de competencias laborales de la STPS para empleados de empresas,755,shared_objectives:GP008
GP002,Toma de Signos Vitales,Vital Signs Measurement,Capacitación Externa (Población General),General Public,"Los signos vitales son valores que permiten estimar la efectividad de la circulación, la respiración y las funciones neurológicas…",Población en general,"No, es completamente abierto a cualquier público",15,Sin requisitos específicos,6,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana,455,
GP003,Reanimación Cardiopulmonar y Desobstrucción de la Vía Aérea,Cardiopulmonary Resuscitation and Airway Obstruction Relief,Capacitación Externa (Población General),General Public,"La reanimación cardiopulmonar y la desobstrucción de la vía aérea son destrezas del soporte vital básico, dirigidas a cualquier persona…",Cualquier persona que necesite aprender cómo actuar ante un paro cardiorrespiratorio,"No, es completamente abierto a cualquier público",15,Sin requisitos específicos,5,1,0.5 día (medio día),1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana,475,
GP004,"Cuidado de Pacientes en el Hogar (Curaciones, Administración de Medicamentos)","Home Patient Care (Wound Care, Medication Administration)",Capacitación Externa (Población General),General Public,"Curso dirigido a personas que necesitan conocer las adaptaciones necesarias para cuidar a enfermos en casa, las recomendaciones…",Personas que necesitan tener conocimientos para cuidar a un enfermo en casa,"No, es completamente abierto a cualquier público",15,Sin requisitos específicos,6,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana,555,
GP005,Limpieza y Tratamiento de Heridas,Wound Cleaning and Treatment,Capacitación Externa (Población General),General Public,Curso que permite conocer los principios de la identificación de heridas contaminadas y su correcta desinfección y limpieza.,Personas que realizan intervenciones que requieren manejo de heridas,"No, es completamente abierto a cualquier público",15,Sin requisitos específicos,4,1,0.5 día (medio día),1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana,425,
GP006,Formación de Camilleros (Seguridad en el Traslado y Movilización de Pacientes),Stretcher-Bearer Training (Safe Patient Transfer and Mobilization),Capacitación Externa (Población General),General Public,"Curso de formación que permite aprender los principios de la movilización segura de pacientes, tanto en dispositivos móviles…",Población en general,"No, es completamente abierto a cualquier público",15,Sin requisitos específicos,16,2,2 días,2 Sesiones,Presencial,"Español, inglés bajo solicitud de servicio",Material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana,1500,
GP007,Primeros Auxilios Pediátricos,Pediatric First Aid,Capacitación Externa (Población General),General Public,Curso diseñado para que personas que no son profesionales de la salud tengan un primer acercamiento a las acciones que pueden…,Personas que necesitan tener conocimientos para atender a un menor,"No, es completamente abierto a cualquier público",15,Sin requisitos específicos,8,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana,780,
GPE001,Brigada de Búsqueda y Rescate,Search and Rescue Brigade,Capacitación Externa (Población General),General Public (Employees),"Este curso está diseñado para capacitar a brigadistas y personal de emergencias para localizar, extraer y trasladar a personas atrapadas…",Empleados de empresas que necesitan formar brigadas,"No, para empleados de empresas",15,Sin requisitos específicos,8,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana,1000,
GPE002,Brigada de Uso y Manejo de Extintores,Fire Extinguisher Use and Handling Brigade,Capacitación Externa (Población General),General Public (Employees),Este curso está diseñado para capacitar a brigadistas y personal de emergencias en conocimientos teóricos y habilidades prácticas…,Empleados de empresas que necesitan formar brigadas,"No, para empleados de empresas",15,Sin requisitos específicos,8,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana,1655,
GPE003,Brigada de Evacuación de Inmuebles,Building Evacuation Brigade,Capacitación Externa (Población General),General Public (Employees),Este curso está diseñado para capacitar a brigadistas y personal de emergencias en conocimientos teóricos y habilidades prácticas…,Empleados de empresas que necesitan formar brigadas,"No, para empleados de empresas",15,Sin requisitos específicos,8,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana,820,
GPE004,Brigada de Primeros Auxilios,First Aid Brigade,Capacitación Externa (Población General),General Public (Employees),Este curso está diseñado para capacitar a brigadistas y personal de emergencias en conocimientos teóricos y habilidades prácticas…,Empleados de empresas que necesitan formar brigadas,"No, es completamente abierto a cualquier público",15,Sin requisitos específicos,8,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital y material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana,755,
